table,slot,entry_kind,target
c_op8xext16_table,0x00,handler,_add_ext16_i
c_op8xext16_table,0x01,handler,_or_ext16_i
c_op8xext16_table,0x02,handler,_adc_ext16_i
c_op8xext16_table,0x03,handler,_sbb_ext16_i
c_op8xext16_table,0x04,handler,_and_ext16_i
c_op8xext16_table,0x05,handler,_sub_ext16_i
c_op8xext16_table,0x06,handler,_xor_ext16_i
c_op8xext16_table,0x07,handler,_cmp_ext16_i
c_op8xext8_table,0x00,handler,_add_ext8_i
c_op8xext8_table,0x01,handler,_or_ext8_i
c_op8xext8_table,0x02,handler,_adc_ext8_i
c_op8xext8_table,0x03,handler,_sbb_ext8_i
c_op8xext8_table,0x04,handler,_and_ext8_i
c_op8xext8_table,0x05,handler,_sub_ext8_i
c_op8xext8_table,0x06,handler,_xor_ext8_i
c_op8xext8_table,0x07,handler,_cmp_ext8_i
c_op8xreg16_table,0x00,handler,_add_r16_i
c_op8xreg16_table,0x01,handler,_or_r16_i
c_op8xreg16_table,0x02,handler,_adc_r16_i
c_op8xreg16_table,0x03,handler,_sbb_r16_i
c_op8xreg16_table,0x04,handler,_and_r16_i
c_op8xreg16_table,0x05,handler,_sub_r16_i
c_op8xreg16_table,0x06,handler,_xor_r16_i
c_op8xreg16_table,0x07,handler,_cmp_r16_i
c_op8xreg8_table,0x00,handler,_add_r8_i
c_op8xreg8_table,0x01,handler,_or_r8_i
c_op8xreg8_table,0x02,handler,_adc_r8_i
c_op8xreg8_table,0x03,handler,_sbb_r8_i
c_op8xreg8_table,0x04,handler,_and_r8_i
c_op8xreg8_table,0x05,handler,_sub_r8_i
c_op8xreg8_table,0x06,handler,_xor_r8_i
c_op8xreg8_table,0x07,handler,_cmp_r8_i
c_ope0xf6_table,0x00,handler,_test_ea8_data8
c_ope0xf6_table,0x01,handler,_test_ea8_data8
c_ope0xf6_table,0x02,handler,_not_ea8
c_ope0xf6_table,0x03,handler,_neg_ea8
c_ope0xf6_table,0x04,handler,_mul_ea8
c_ope0xf6_table,0x05,handler,_imul_ea8
c_ope0xf6_table,0x06,handler,_div_ea8
c_ope0xf6_table,0x07,handler,_idiv_ea8
c_ope0xf7_table,0x00,handler,_test_ea16_data16
c_ope0xf7_table,0x01,handler,_test_ea16_data16
c_ope0xf7_table,0x02,handler,_not_ea16
c_ope0xf7_table,0x03,handler,_neg_ea16
c_ope0xf7_table,0x04,handler,_mul_ea16
c_ope0xf7_table,0x05,handler,_imul_ea16
c_ope0xf7_table,0x06,handler,_div_ea16
c_ope0xf7_table,0x07,handler,_idiv_ea16
c_ope0xfe_table,0x00,handler,_inc_ea8
c_ope0xfe_table,0x01,handler,_dec_ea8
c_ope0xff_table,0x00,handler,_inc_ea16
c_ope0xff_table,0x01,handler,_dec_ea16
c_ope0xff_table,0x02,handler,_call_ea16
c_ope0xff_table,0x03,handler,_call_far_ea16
c_ope0xff_table,0x04,handler,_jmp_ea16
c_ope0xff_table,0x05,handler,_jmp_far_ea16
c_ope0xff_table,0x06,handler,_push_ea16
c_ope0xff_table,0x07,handler,_push_ff7_ea16
handler:_calc_ea16_i16,-,secondary-table,c_op8xext16_table
handler:_calc_ea16_i16,-,secondary-table,c_op8xreg16_table
handler:_calc_ea16_i8,-,secondary-table,c_op8xext16_table
handler:_calc_ea16_i8,-,secondary-table,c_op8xreg16_table
handler:_calc_ea8_i8,-,secondary-table,c_op8xext8_table
handler:_calc_ea8_i8,-,secondary-table,c_op8xreg8_table
handler:_mov_al_imm,-,secondary-table,sft_e8cl_table
handler:_mov_al_imm,-,secondary-table,sft_r8cl_table
handler:_ope0x0f,-,secondary-table,upd9002_ope0x0f_table
